id,carat,cut,color,clarity,depth,table,x,y,z,cut_encoded,color_encoded,clarity_encoded
1445,1.01,Ideal,E,VS2,61.5,57.0,6.44,6.48,3.97,4,6,3
1446,0.34,Ideal,H,VS2,61.5,54.0,4.54,4.5,2.78,4,2,3
1447,0.27,Ideal,F,IF,61.3,57.0,4.16,4.2,2.56,4,4,7
1448,0.52,Ideal,D,VS1,60.9,56.0,5.19,5.22,3.17,4,5,4
1449,0.54,Very Good,E,SI2,61.9,58.0,5.19,5.24,3.23,3,6,0
1450,0.41,Premium,D,VS2,62.4,60.0,4.71,4.75,2.95,1,5,3
1451,1.01,Good,H,VVS2,63.3,57.0,6.35,6.39,4.03,2,2,5
1452,1.04,Ideal,G,VS1,61.7,56.0,6.47,6.52,4.01,4,3,4
1453,0.74,Very Good,I,SI1,63.8,58.0,5.72,5.76,3.66,3,1,2
1454,0.71,Ideal,E,SI2,62.7,56.0,5.68,5.71,3.57,4,6,0
1455,0.34,Ideal,I,VS2,61.5,55.0,4.53,4.55,2.79,4,1,3
1456,1.2,Ideal,I,SI1,61.8,56.0,6.77,6.8,4.19,4,1,2
1457,1.08,Ideal,H,SI2,61.4,57.0,6.66,6.6,4.07,4,2,0
1458,1.47,Very Good,H,SI2,59.3,59.0,7.34,7.39,4.37,3,2,0
1459,0.41,Premium,G,VVS1,59.9,59.0,4.79,4.83,2.88,1,3,6
1460,0.53,Ideal,E,VS2,61.8,56.0,5.21,5.17,3.21,4,6,3
1461,0.5,Premium,G,VVS2,60.5,62.0,5.14,5.07,3.09,1,3,5
1462,1.23,Very Good,E,VS1,61.5,58.0,6.88,6.93,4.25,3,6,4
1463,0.73,Good,I,SI2,63.7,57.0,5.76,5.67,3.63,2,1,0
1464,0.33,Premium,D,SI2,62.1,58.0,4.4,4.43,2.74,1,5,0
1465,0.57,Ideal,E,SI1,62.2,55.0,5.37,5.31,3.32,4,6,2
1466,0.5,Very Good,G,SI1,59.3,58.0,5.19,5.24,3.09,3,3,2
1467,0.75,Premium,G,SI2,62.7,58.0,5.82,5.76,3.63,1,3,0
1468,0.7,Premium,E,SI1,60.5,58.0,5.74,5.77,3.48,1,6,2
1469,0.61,Very Good,E,VS2,60.0,57.0,5.52,5.55,3.32,3,6,3
1470,1.01,Ideal,G,VS2,61.9,56.0,6.4,6.44,3.97,4,3,3
1471,0.84,Very Good,G,SI2,62.8,57.0,6.0,6.04,3.78,3,3,0
1472,0.5,Fair,F,I1,69.8,55.0,4.89,4.8,3.38,0,4,1
1473,0.31,Ideal,E,VS2,61.4,54.0,4.38,4.41,2.7,4,6,3
1474,0.7,Ideal,F,SI1,62.3,57.0,5.68,5.64,3.53,4,4,2
1475,0.33,Very Good,G,VVS1,62.8,59.0,4.38,4.44,2.77,3,3,6
1476,0.41,Ideal,E,VS2,61.6,55.0,4.75,4.79,2.94,4,6,3
1477,0.31,Ideal,E,SI1,60.6,56.0,4.39,4.42,2.67,4,6,2
1478,1.09,Ideal,H,SI1,61.9,57.0,6.63,6.58,4.09,4,2,2
1479,0.9,Fair,I,SI1,65.7,58.0,6.03,6.0,3.95,0,1,2
1480,0.57,Premium,E,SI1,61.4,58.0,5.28,5.34,3.26,1,6,2
1481,2.02,Very Good,H,VS2,61.5,59.0,8.08,8.21,5.01,3,2,3
1482,1.0,Ideal,F,SI2,62.7,57.0,6.37,6.42,4.01,4,4,0
1483,0.3,Premium,I,VS1,60.3,58.0,4.34,4.32,2.61,1,1,4
1484,1.51,Fair,I,SI1,68.3,57.0,6.95,6.87,4.72,0,1,2
1485,1.02,Good,G,VS1,63.3,58.0,6.38,6.42,4.05,2,3,4
1486,0.36,Premium,D,SI1,59.6,58.0,4.61,4.65,2.76,1,5,2
1487,0.7,Good,E,SI1,57.8,62.0,5.79,5.84,3.36,2,6,2
1488,0.34,Ideal,E,SI1,60.7,56.0,4.51,4.55,2.75,4,6,2
1489,0.5,Ideal,G,SI2,62.1,55.0,5.12,5.15,3.19,4,3,0
1490,1.62,Ideal,G,VS2,61.7,56.0,7.53,7.57,4.66,4,3,3
1491,0.31,Premium,E,SI1,62.0,58.0,4.35,4.3,2.68,1,6,2
1492,1.02,Very Good,E,SI1,63.1,61.0,6.42,6.35,4.03,3,6,2
1493,1.08,Very Good,E,SI1,63.1,59.0,6.53,6.49,4.11,3,6,2
1494,1.51,Very Good,G,SI1,63.3,60.0,7.2,7.24,4.57,3,3,2
1495,0.3,Ideal,G,VVS1,61.9,57.0,4.28,4.31,2.66,4,3,6
1496,1.27,Premium,F,VVS1,62.5,56.0,6.99,6.93,4.35,1,4,6
1497,0.92,Good,E,SI2,62.0,64.0,6.2,6.16,3.83,2,6,0
1498,0.73,Premium,H,SI1,62.2,57.0,5.8,5.77,3.6,1,2,2
1499,0.3,Ideal,D,VS2,62.3,56.0,4.32,4.29,2.68,4,5,3
1500,0.9,Good,E,SI2,58.7,63.0,6.2,6.23,3.65,2,6,0
1501,0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,3,5,2
1502,0.41,Very Good,F,VS1,60.8,58.0,4.76,4.82,2.91,3,4,4
1503,0.76,Premium,D,SI1,61.1,59.0,5.93,5.88,3.61,1,5,2
1504,0.37,Good,F,VS2,63.3,56.0,4.56,4.63,2.91,2,4,3
1505,0.51,Ideal,E,SI1,60.9,54.0,5.17,5.21,3.16,4,6,2
1506,1.07,Good,H,VS2,63.8,57.0,6.54,6.47,4.15,2,2,3
1507,2.03,Very Good,D,SI2,63.1,58.0,8.02,7.98,5.05,3,5,0
1508,0.31,Ideal,D,VS2,62.1,54.0,4.34,4.36,2.7,4,5,3
1509,1.54,Premium,H,VS2,61.0,60.0,7.42,7.46,4.54,1,2,3
1510,0.31,Good,G,VVS2,63.8,56.0,4.24,4.28,2.72,2,3,5
1511,0.57,Ideal,F,VVS2,61.7,56.0,5.31,5.35,3.29,4,4,5
1512,0.39,Very Good,G,SI1,62.4,58.0,4.67,4.72,2.93,3,3,2
1513,1.2,Ideal,I,VS2,63.2,59.0,6.73,6.68,4.24,4,1,3
1514,0.92,Very Good,F,VS1,61.0,60.0,6.25,6.27,3.82,3,4,4
1515,0.36,Ideal,F,VVS2,61.4,56.0,4.58,4.61,2.82,4,4,5
1516,1.02,Very Good,D,VS2,63.7,55.0,6.42,6.45,4.1,3,5,3
1517,0.38,Ideal,G,VVS1,59.7,60.0,4.71,4.74,2.82,4,3,6
1518,1.01,Good,F,SI2,58.3,60.0,6.64,6.66,3.88,2,4,0
1519,0.76,Premium,D,SI2,58.8,57.0,6.03,5.98,3.51,1,5,0
1520,1.22,Ideal,F,VS2,62.6,56.0,6.8,6.78,4.25,4,4,3
1521,0.7,Good,E,SI2,57.8,61.0,5.88,5.82,3.38,2,6,0
1522,0.42,Very Good,D,SI1,61.5,58.0,4.8,4.83,2.96,3,5,2
1523,0.42,Premium,D,SI2,60.1,58.0,4.88,4.83,2.92,1,5,0
1524,0.62,Very Good,D,SI1,62.4,58.0,5.42,5.47,3.4,3,5,2
1525,1.0,Good,G,SI1,63.9,60.0,6.22,6.27,3.99,2,3,2
1526,0.93,Good,E,SI1,63.1,57.0,6.17,6.19,3.9,2,6,2
1527,0.54,Very Good,E,VS2,63.1,58.0,5.21,5.13,3.26,3,6,3
1528,1.0,Very Good,F,VS2,63.3,55.0,6.34,6.29,4.0,3,4,3
1529,1.2,Good,I,VS1,64.8,58.0,6.6,6.65,4.29,2,1,4
1530,0.72,Very Good,G,SI2,63.4,57.0,5.67,5.71,3.61,3,3,0
1531,0.37,Ideal,I,VS1,60.8,56.0,4.67,4.71,2.85,4,1,4
1532,1.04,Ideal,G,VS2,61.9,57.0,6.5,6.46,4.01,4,3,3
1533,1.12,Ideal,F,VS1,62.1,54.0,6.66,6.73,4.16,4,4,4
1534,1.05,Very Good,E,SI2,63.2,59.0,6.43,6.36,4.04,3,6,0
1535,1.51,Very Good,H,SI1,63.3,57.0,7.23,7.34,4.61,3,2,2
1536,1.0,Ideal,E,SI1,62.4,55.0,6.34,6.42,3.98,4,6,2
1537,1.0,Good,G,VVS1,58.4,60.0,6.55,6.61,3.84,2,3,6
1538,1.75,Very Good,H,SI2,60.8,60.0,7.72,7.8,4.72,3,2,0
1539,0.37,Very Good,E,VS2,61.8,59.0,4.56,4.6,2.83,3,6,3
1540,0.71,Premium,F,SI1,61.6,57.0,5.73,5.7,3.52,1,4,2
1541,0.5,Fair,G,I1,64.9,57.0,5.01,4.97,3.24,0,3,1
1542,0.61,Good,F,VS2,63.0,64.2,5.29,5.32,3.34,2,4,3
1543,0.54,Ideal,D,SI1,62.9,57.0,5.22,5.17,3.27,4,5,2
1544,1.33,Premium,I,VS1,61.7,58.0,7.09,7.14,4.39,1,1,4
1545,1.02,Premium,G,SI1,62.3,59.0,6.44,6.4,4.0,1,3,2
1546,0.41,Ideal,F,IF,61.7,56.0,4.79,4.83,2.97,4,4,7
1547,1.01,Premium,J,SI2,58.3,62.0,6.49,6.43,3.77,1,0,0
1548,1.2,Premium,H,SI2,59.6,60.0,6.91,6.84,4.1,1,2,0
1549,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,1,0,3
1550,1.7,Very Good,E,VS2,58.6,62.0,7.84,7.92,4.62,3,6,3
1551,0.3,Very Good,E,VS1,61.7,56.0,4.3,4.33,2.66,3,6,4
1552,0.31,Good,D,SI2,63.9,57.0,4.33,4.28,2.75,2,5,0
1553,0.32,Ideal,G,VS1,62.3,55.0,4.37,4.4,2.73,4,3,4
1554,0.34,Premium,E,SI1,59.3,58.0,4.55,4.59,2.71,1,6,2
1555,0.51,Ideal,F,SI2,60.2,55.0,5.19,5.24,3.14,4,4,0
1556,1.26,Premium,I,SI2,60.1,59.0,7.03,6.99,4.21,1,1,0
1557,0.4,Very Good,D,VS2,62.4,60.0,4.66,4.67,2.91,3,5,3
1558,0.41,Ideal,H,VVS1,61.4,56.0,4.8,4.77,2.94,4,2,6
1559,0.4,Very Good,E,SI2,63.1,57.0,4.72,4.7,2.97,3,6,0
1560,0.32,Good,E,VS2,64.1,54.0,4.32,4.36,2.78,2,6,3
1561,0.91,Premium,E,VS1,62.7,59.0,6.19,6.15,3.87,1,6,4
1562,1.25,Ideal,G,VS2,62.4,55.0,6.93,6.86,4.3,4,3,3
1563,0.7,Good,F,VS1,63.7,57.0,5.55,5.62,3.56,2,4,4
1564,1.02,Fair,H,VS2,64.6,61.0,6.32,6.24,4.06,0,2,3
1565,1.01,Premium,G,VS1,59.9,59.0,6.51,6.48,3.89,1,3,4
1566,0.38,Premium,H,VVS2,62.0,58.0,4.64,4.62,2.87,1,2,5
1567,0.5,Very Good,E,VS2,62.9,59.0,5.06,5.09,3.19,3,6,3
1568,0.54,Ideal,D,SI1,61.7,55.0,5.23,5.27,3.24,4,5,2
1569,2.32,Premium,F,SI2,62.5,59.0,8.51,8.44,5.3,1,4,0
1570,0.57,Ideal,F,VVS2,62.0,55.0,5.31,5.3,3.29,4,4,5
1571,0.7,Ideal,H,VS1,61.8,56.0,5.69,5.72,3.53,4,2,4
1572,1.01,Very Good,G,SI2,60.8,63.0,6.4,6.36,3.88,3,3,0
1573,2.01,Premium,I,SI2,63.0,59.0,8.04,7.97,5.04,1,1,0
1574,1.01,Good,E,VS1,63.6,54.0,6.38,6.32,4.04,2,6,4
1575,0.32,Ideal,H,VS2,62.0,57.0,4.35,4.39,2.71,4,2,3
1576,0.37,Premium,E,VS1,60.4,58.0,4.66,4.61,2.8,1,6,4
1577,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,4,3,4
1578,1.26,Very Good,G,SI1,63.0,59.0,6.84,6.88,4.32,3,3,2
1579,0.6,Ideal,D,VS2,62.0,55.0,5.39,5.42,3.35,4,5,3
1580,0.52,Premium,E,VS1,61.6,58.0,5.14,5.18,3.18,1,6,4
1581,0.32,Premium,G,VS2,60.7,58.0,4.38,4.42,2.67,1,3,3
1582,1.21,Ideal,F,VS2,62.6,55.0,6.8,6.75,4.24,4,4,3
1583,1.05,Ideal,H,SI1,61.1,56.0,6.52,6.58,4.0,4,2,2
1584,0.9,Very Good,H,VS1,62.1,57.0,6.17,6.23,3.85,3,2,4
1585,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,3,3,0
1586,0.31,Ideal,G,VS2,61.6,55.0,4.39,4.37,2.7,4,3,3
1587,1.23,Premium,F,VS2,59.6,58.0,7.02,6.94,4.16,1,4,3
1588,2.08,Ideal,H,SI2,61.5,57.0,8.26,8.2,5.06,4,2,0
1589,0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,4,4,6
1590,0.94,Premium,F,SI2,62.3,59.0,6.32,6.23,3.91,1,4,0
1591,2.02,Ideal,G,SI2,63.5,54.0,7.96,8.02,5.07,4,3,0
1592,0.41,Ideal,D,SI2,62.6,55.0,4.8,4.76,2.99,4,5,0
1593,1.15,Premium,E,SI2,61.7,59.0,6.7,6.66,4.12,1,6,0
1594,0.66,Premium,F,SI1,60.6,58.0,5.69,5.63,3.43,1,4,2
1595,1.52,Fair,H,SI1,65.3,58.0,7.14,7.1,4.65,0,2,2
1596,0.42,Ideal,F,SI1,61.6,55.0,4.85,4.83,2.98,4,4,2
1597,0.41,Ideal,H,SI1,62.2,55.0,4.76,4.79,2.97,4,2,2
1598,1.02,Ideal,H,VVS2,62.0,56.0,6.42,6.45,3.99,4,2,5
1599,0.52,Ideal,F,IF,62.2,55.0,5.14,5.18,3.21,4,4,7
1600,1.07,Ideal,D,SI2,61.4,56.0,6.55,6.58,4.03,4,5,0
1601,0.53,Ideal,F,VVS2,61.4,56.0,5.19,5.23,3.2,4,4,5
1602,1.05,Ideal,I,VS2,60.3,57.0,6.57,6.63,3.98,4,1,3
1603,1.01,Premium,E,VS1,62.9,61.0,6.39,6.33,4.0,1,6,4
1604,0.74,Good,G,SI1,64.2,59.0,5.69,5.62,3.63,2,3,2
1605,1.27,Premium,F,SI2,61.0,61.0,7.01,6.95,4.26,1,4,0
1606,0.34,Premium,I,VS2,61.8,58.0,4.48,4.51,2.78,1,1,3
1607,0.53,Ideal,D,VS2,60.2,55.0,5.26,5.3,3.18,4,5,3
1608,1.01,Very Good,H,VS2,62.5,57.0,6.37,6.44,4.0,3,2,3
1609,0.5,Premium,E,VS2,61.4,59.0,5.13,5.09,3.14,1,6,3
1610,1.01,Premium,F,VS2,61.2,57.5,6.43,6.45,3.94,1,4,3
1611,0.25,Premium,F,IF,61.1,58.0,4.08,4.1,2.5,1,4,7
1612,1.07,Ideal,I,VS1,62.0,57.0,6.56,6.5,4.05,4,1,4
1613,0.53,Ideal,D,SI1,61.7,56.0,5.15,5.23,3.2,4,5,2
1614,0.94,Premium,G,SI2,63.0,59.0,6.16,6.1,3.86,1,3,0
1615,1.0,Good,G,VVS2,62.4,61.0,6.32,6.3,3.94,2,3,5
1616,0.5,Very Good,D,SI2,63.4,59.0,5.03,5.0,3.18,3,5,0
1617,0.9,Ideal,H,VS1,61.8,55.0,6.21,6.14,3.82,4,2,4
1618,0.6,Premium,D,SI1,62.9,58.0,5.39,5.33,3.37,1,5,2
1619,1.02,Ideal,D,VVS2,61.0,56.0,6.52,6.55,3.99,4,5,5
1620,0.34,Good,G,SI1,63.9,58.0,4.43,4.4,2.82,2,3,2
1621,1.01,Fair,E,VS2,64.8,59.0,6.34,6.26,4.08,0,6,3
1622,0.38,Ideal,D,VS1,62.0,55.0,4.68,4.64,2.89,4,5,4
1623,1.3,Premium,I,VS1,62.2,59.0,6.91,6.97,4.32,1,1,4
1624,0.47,Very Good,F,VVS2,60.9,59.0,4.99,5.03,3.05,3,4,5
1625,0.7,Ideal,F,VS1,62.0,55.0,5.74,5.71,3.55,4,4,4
1626,0.38,Ideal,D,VS1,61.0,57.0,4.66,4.69,2.85,4,5,4
1627,0.25,Fair,F,SI2,54.4,64.0,4.3,4.23,2.32,0,4,0
1628,0.38,Premium,G,VS2,59.7,62.0,4.68,4.66,2.79,1,3,3
1629,0.4,Ideal,D,SI1,62.0,56.0,4.71,4.68,2.91,4,5,2
1630,0.31,Very Good,G,SI1,63.0,58.0,4.3,4.34,2.72,3,3,2
1631,0.32,Very Good,G,VS1,61.2,62.0,4.41,4.45,2.71,3,3,4
1632,0.75,Ideal,I,VS1,61.1,59.0,5.85,5.87,3.58,4,1,4
1633,0.27,Very Good,F,VVS1,61.8,56.0,4.17,4.19,2.58,3,4,6
1634,1.34,Ideal,F,SI1,61.7,55.0,7.07,7.13,4.38,4,4,2
1635,0.4,Premium,J,VS1,59.7,59.0,4.83,4.79,2.87,1,0,4
1636,0.43,Very Good,G,VS1,59.3,58.0,4.97,5.02,2.96,3,3,4
1637,0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,4,5,4
1638,2.0,Good,G,SI1,63.6,61.0,7.9,7.83,5.0,2,3,2
1639,0.51,Ideal,E,VS2,61.9,55.0,5.13,5.17,3.19,4,6,3
1640,1.69,Premium,I,I1,62.4,60.0,7.59,7.56,4.73,1,1,1
1641,0.5,Premium,D,SI2,62.2,58.0,5.08,5.14,3.18,1,5,0
1642,1.01,Good,G,SI1,62.8,58.0,6.36,6.29,3.97,2,3,2
1643,1.06,Premium,F,VS2,61.8,60.0,6.58,6.53,4.05,1,4,3
1644,0.54,Ideal,E,SI1,61.6,57.0,5.23,5.26,3.23,4,6,2
1645,0.38,Ideal,D,VS2,61.5,56.0,4.66,4.7,2.88,4,5,3
1646,1.0,Very Good,I,SI1,63.3,58.0,6.34,6.3,4.0,3,1,2
1647,1.01,Premium,G,VS1,62.8,59.0,6.37,6.34,3.99,1,3,4
1648,1.21,Premium,F,SI1,60.0,60.0,6.96,6.91,4.16,1,4,2
1649,0.39,Ideal,F,SI1,61.8,55.0,4.7,4.72,2.91,4,4,2
1650,0.83,Fair,I,VS2,64.9,58.0,5.9,5.84,3.81,0,1,3
1651,0.33,Premium,I,VS2,62.6,58.0,4.42,4.34,2.74,1,1,3
1652,1.7,Ideal,I,SI1,62.4,56.0,7.68,7.64,4.78,4,1,2
1653,0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,1,1,4
1654,1.14,Ideal,F,VVS2,61.4,57.0,6.76,6.72,4.14,4,4,5
1655,1.0,Good,H,VS2,57.8,59.0,6.53,6.47,3.75,2,2,3
1656,2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,3,0,5
1657,1.53,Premium,I,SI1,61.5,59.0,7.39,7.32,4.52,1,1,2
1658,1.24,Very Good,I,SI1,62.5,57.0,6.84,6.89,4.29,3,1,2
1659,0.32,Ideal,G,VS1,61.9,55.0,4.43,4.39,2.73,4,3,4
1660,0.81,Premium,J,SI1,61.4,60.0,5.98,5.94,3.66,1,0,2
1661,0.36,Premium,D,SI1,61.4,58.0,4.56,4.59,2.81,1,5,2
1662,0.39,Good,G,VS2,63.3,57.0,4.61,4.65,2.93,2,3,3
1663,0.41,Premium,F,VS2,62.4,56.0,4.77,4.75,2.97,1,4,3
1664,0.3,Premium,D,VVS2,59.6,61.0,4.39,4.34,2.6,1,5,5
1665,0.32,Ideal,D,VS2,61.6,56.0,4.37,4.4,2.7,4,5,3
1666,0.33,Good,D,VS2,63.6,56.0,4.38,4.42,2.8,2,5,3
1667,0.7,Good,G,VVS1,59.9,61.0,5.75,5.81,3.46,2,3,6
1668,0.3,Premium,D,SI2,62.9,58.0,4.29,4.26,2.69,1,5,0
1669,0.26,Very Good,F,VVS1,60.6,56.0,4.12,4.16,2.51,3,4,6
1670,0.64,Fair,E,SI1,59.5,64.0,5.65,5.39,3.31,0,6,2
1671,0.33,Ideal,E,VS2,62.3,57.0,4.4,4.43,2.75,4,6,3
1672,1.2,Very Good,F,VVS2,61.4,60.0,6.79,6.83,4.18,3,4,5
1673,0.3,Good,I,VVS1,63.8,56.0,4.26,4.23,2.71,2,1,6
1674,1.64,Very Good,F,SI1,62.8,59.0,7.51,7.53,4.72,3,4,2
1675,1.21,Premium,E,SI2,61.7,59.0,6.83,6.78,4.2,1,6,0
1676,1.0,Good,F,VVS2,56.5,63.0,6.65,6.62,3.75,2,4,5
1677,0.34,Very Good,E,VS2,58.8,59.0,4.56,4.59,2.69,3,6,3
1678,0.74,Ideal,H,SI1,62.1,56.0,5.77,5.83,3.6,4,2,2
1679,0.31,Ideal,D,SI1,62.3,54.0,4.33,4.37,2.71,4,5,2
1680,0.36,Ideal,E,VS2,61.2,56.0,4.59,4.63,2.82,4,6,3
1681,0.32,Good,G,SI1,63.5,56.0,4.35,4.38,2.77,2,3,2
1682,0.37,Premium,E,VS2,61.0,59.0,4.65,4.6,2.82,1,6,3
1683,0.91,Premium,F,SI2,58.9,61.0,6.36,6.33,3.74,1,4,0
1684,2.03,Premium,E,SI2,61.5,59.0,8.24,8.16,5.04,1,6,0
1685,0.7,Premium,H,VS2,61.7,59.0,5.66,5.68,3.5,1,2,3
1686,1.31,Ideal,I,VS2,61.7,55.0,7.0,7.1,4.35,4,1,3
1687,0.4,Ideal,F,SI2,61.9,57.0,4.71,4.73,2.92,4,4,0
1688,1.02,Premium,E,VS2,62.1,52.0,6.55,6.49,4.05,1,6,3
1689,2.01,Ideal,G,SI1,62.2,56.0,8.02,7.97,4.97,4,3,2
1690,1.32,Premium,I,SI1,62.2,58.0,6.99,7.04,4.36,1,1,2
1691,0.3,Good,G,VS2,58.5,64.0,4.42,4.37,2.57,2,3,3
1692,1.71,Ideal,F,SI2,62.1,54.0,7.72,7.67,4.78,4,4,0
1693,1.02,Premium,G,SI2,62.5,59.0,6.42,6.37,4.0,1,3,0
1694,0.5,Premium,D,SI2,62.6,58.0,5.04,4.96,3.13,1,5,0
1695,0.53,Ideal,G,VVS2,60.4,56.0,5.29,5.24,3.18,4,3,5
1696,0.33,Premium,F,VS2,60.0,60.0,4.49,4.45,2.68,1,4,3
1697,0.33,Ideal,E,VS2,61.9,56.0,4.4,4.45,2.74,4,6,3
1698,1.2,Ideal,D,VS2,61.4,55.0,6.87,6.78,4.19,4,5,3
1699,0.71,Ideal,F,VS2,62.3,57.0,5.69,5.74,3.56,4,4,3
1700,0.4,Premium,G,IF,60.8,58.0,4.73,4.77,2.89,1,3,7
1701,0.25,Ideal,E,VVS1,61.5,55.0,4.09,4.12,2.52,4,6,6
1702,0.41,Premium,G,VS2,61.4,59.0,4.75,4.79,2.93,1,3,3
1703,0.3,Premium,G,VS1,62.2,59.0,4.28,4.24,2.65,1,3,4
1704,0.91,Very Good,H,SI1,63.4,56.0,6.18,6.1,3.89,3,2,2
1705,0.31,Ideal,E,VS2,61.8,55.0,4.33,4.35,2.68,4,6,3
1706,1.22,Premium,F,VS2,62.3,57.0,6.84,6.8,4.25,1,4,3
1707,0.71,Good,F,SI1,66.2,55.0,5.49,5.53,3.65,2,4,2
1708,2.01,Very Good,I,VS1,61.5,62.0,7.94,8.07,4.92,3,1,4
1709,0.83,Ideal,E,SI2,61.9,53.0,6.08,6.04,3.75,4,6,0
1710,0.84,Ideal,D,SI1,61.5,54.0,6.07,6.13,3.75,4,5,2
1711,0.31,Ideal,G,IF,61.9,56.0,4.33,4.35,2.68,4,3,7
1712,0.3,Ideal,H,VVS2,61.5,57.0,4.34,4.31,2.66,4,2,5
1713,0.71,Very Good,I,VS1,61.1,57.0,5.75,5.8,3.53,3,1,4
1714,1.64,Premium,J,SI2,63.0,58.0,7.54,7.49,4.74,1,0,0
1715,1.52,Fair,H,SI1,61.2,60.0,7.39,7.29,4.49,0,2,2
1716,0.58,Ideal,I,VVS1,62.1,56.0,5.32,5.34,3.31,4,1,6
1717,1.07,Ideal,H,SI1,62.0,57.0,6.51,6.56,4.05,4,2,2
1718,0.72,Premium,D,SI1,62.7,59.0,5.69,5.73,3.58,1,5,2
1719,0.6,Ideal,E,VS1,61.6,55.0,5.43,5.48,3.36,4,6,4
1720,1.1,Ideal,G,VS1,61.3,57.0,6.66,6.59,4.06,4,3,4
1721,0.61,Premium,I,VS2,61.8,56.0,5.44,5.41,3.35,1,1,3
1722,1.02,Ideal,H,SI1,61.2,56.0,6.49,6.51,3.98,4,2,2
1723,0.73,Ideal,E,VS1,61.7,57.0,5.77,5.8,3.57,4,6,4
1724,0.75,Premium,D,SI1,59.2,58.0,5.96,5.93,3.52,1,5,2
1725,0.5,Ideal,F,IF,62.0,55.0,5.09,5.13,3.17,4,4,7
1726,0.9,Good,G,IF,63.1,58.0,6.09,6.18,3.87,2,3,7
1727,0.36,Premium,F,SI1,61.6,60.0,4.54,4.61,2.82,1,4,2
1728,1.0,Premium,G,VS1,60.9,60.0,6.45,6.42,3.92,1,3,4
1729,1.75,Premium,H,SI1,61.4,59.0,7.79,7.69,4.75,1,2,2
1730,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,4,4,2
1731,0.52,Ideal,I,VS2,61.9,58.0,5.14,5.17,3.19,4,1,3
1732,1.16,Premium,I,VS2,62.4,58.0,6.69,6.65,4.16,1,1,3
1733,0.47,Very Good,H,VS2,57.2,60.0,5.18,5.21,2.97,3,2,3
1734,1.53,Very Good,G,VS2,58.9,59.0,7.58,7.61,4.47,3,3,3
1735,0.55,Good,D,SI2,63.2,56.0,5.21,5.24,3.3,2,5,0
1736,1.06,Ideal,F,SI1,62.2,57.0,6.52,6.5,4.05,4,4,2
1737,0.4,Very Good,E,SI2,58.7,59.0,4.78,4.82,2.82,3,6,0
1738,1.52,Premium,G,VS1,62.4,58.0,7.37,7.3,4.58,1,3,4
1739,0.24,Ideal,F,VVS2,62.4,55.0,3.99,4.02,2.5,4,4,5
1740,1.51,Premium,G,VS1,60.1,58.0,7.48,7.45,4.49,1,3,4
1741,0.57,Premium,F,SI2,61.7,59.0,5.34,5.31,3.29,1,4,0
1742,1.16,Good,F,SI2,63.7,63.0,6.55,6.63,4.2,2,4,0
1743,0.53,Premium,H,SI1,60.9,60.0,5.26,5.19,3.18,1,2,2
1744,1.01,Fair,G,VS1,64.6,60.0,6.34,6.22,4.06,0,3,4
1745,1.18,Ideal,I,SI2,61.9,54.0,6.77,6.84,4.21,4,1,0
1746,0.33,Ideal,G,VVS1,61.8,55.0,4.47,4.5,2.77,4,3,6
1747,0.54,Good,D,SI1,64.1,55.0,5.15,5.11,3.29,2,5,2
1748,1.04,Ideal,H,VS2,61.0,57.0,6.56,6.53,3.99,4,2,3
1749,0.74,Ideal,F,VVS2,61.7,57.0,5.79,5.84,3.59,4,4,5
1750,1.0,Very Good,E,VS2,62.4,62.0,6.33,6.39,3.97,3,6,3
1751,1.22,Very Good,H,SI1,62.4,57.0,6.78,6.82,4.24,3,2,2
1752,0.9,Ideal,F,SI1,61.5,56.0,6.25,6.2,3.83,4,4,2
1753,2.03,Premium,H,SI1,61.7,59.0,8.1,8.17,5.02,1,2,2
1754,0.3,Ideal,G,VS2,62.5,53.0,4.27,4.3,2.68,4,3,3
1755,1.12,Ideal,G,VS2,62.2,54.0,6.65,6.62,4.13,4,3,3
1756,0.32,Ideal,H,SI1,60.6,57.0,4.44,4.4,2.68,4,2,2
1757,0.9,Ideal,G,VS1,61.6,55.0,6.27,6.23,3.85,4,3,4
1758,0.5,Ideal,D,SI2,61.6,57.0,5.13,5.1,3.15,4,5,0
1759,0.31,Premium,H,VVS2,61.4,58.0,4.37,4.32,2.67,1,2,5
1760,1.59,Ideal,I,SI1,62.1,57.0,7.48,7.46,4.64,4,1,2
1761,1.25,Premium,G,VS1,60.0,61.0,7.03,6.92,4.23,1,3,4
1762,1.01,Ideal,I,I1,61.5,57.0,6.45,6.46,3.97,4,1,1
1763,0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5,4,5,2
1764,0.72,Premium,H,SI1,62.7,59.0,5.73,5.69,3.58,1,2,2
